Afonso Amoa
Mauro Sarpong
Terence Antwi
Gregory Vicente
Jeremy Tweneboa
Joojo Otiwa
Aaron Branco
Cláudio Fofie
Bernardo Kyei
Rodrigo Maia
Kwasi Moreira
Santiago Nunes
Francisco Twumasi
Bernardo Akyeampong
Robert Andrade
Kweku Twumasi
Mário Nyaako
Mauro Karikari
Jaime Sá
Nuno Domingues
Luís Mensa
Dennis Asante
Vincent Opuku
Kwamena Barros
Joe Miranda
Joojo Adusei
Guilherme Wiafe
Mário Sá
Marcos Vieira
Samuel Boadi
Gordon Ata
Márcio Teixeira
André Mensah
Rafael Ampofo
Manuel Okyere
Frederico Teixeira
Pedro Darko
Andrew Kumi
Max Simões
Afonso Andrade
Francis Ampadu
Fernando Matias
Leandro Amponsah
Gonçalo Batista
Benjamin Baptista
Antony Nyaako
Charles Duah
Luca Yeboah
Gustavo Ata
Kwadwo Silva
Raymond Reis
Santiago Costa
Lucas Martins
Álvaro Amoasi
Steven Pinheiro
Leslie Asiama
Tomé Sousa
Albert Esteves
Graham Amoasi
Stephen Nyaako
Mark Matos
Gaspar Akowua
Renato Reis
Harry Torres
Kojo Ribeiro
Antony Wiafe
Akwasi Asiama
Álvaro Otiwa
Jack Azevedo
Joel Twumasi
Justin Ofori
Nelson Matos
Afonso Esteves
Frederico Macedo
Dennis Agyapong
Luke Garcia
Danny Neves
Henry Nyaako
Harry Paiva
Gerald Pacheco
Leandro Bonsu
Leandro Neto
Miguel Campos
Ângelo Monteiro
Sérgio Ata
Rodrigo Barbosa
Rui Melo
Denis Mensah
Frank Soares
Gustavo Cruz
Akwasi Yeboa
Gregory Morais
Kyle Rodrigues
Dominic Ampofo
David Cunha
Kwamena Boakye
Kwame Maia
Gil Rocha
Joshua Tweneboa
Fábio Valente
Tony Adusei
Frederick Soares
Kévim Moreira
Joel Marques
Manuel Boakye
Nelson Nkansa
Fábio Rodrigues
Eric Moreira
Louis Boakye
Martim Santos
Ivo Oti
Patrick Nascimento
Kévim Alves
Miguel Gyasi
Eduardo Pacheco
Vasco Nunes
Andrew Appiah
Noah Koomson
David Tawia
Valentim Miranda
Leonardo Sousa
Gustavo Lourenço
Paulo Oppong
Xavier Ferreira
Frederick Akowua
Thomas Asiedu
Eduardo Andrade
Artur Amponsah
Nelson Silva
Kevin Ahortor
Henry Andorful
Benjamim Soares
Kyle Baawia
Phillip Tavares
Manuel Leal
Kevin Cardoso
Fiifi Santos
Vicente Akyeamfuɔ
Ekow Fosu
Denis Twumasi
Kevin Nti
Josh Costa
Guilherme Amorim
Akwesi Figueiredo
Noa Akyeampong
Marco Simões
Carl Nyame
Santiago Nyame
Harry Barros
Kenneth Branco
Danny Tutu
Julian Gyasi
Adrian Nyaako
Terence Boadi
Ivo Machado
Bernard Gomes
Akwasi Leite
Kofi Nyaako
António Nkrumah
Miguel Carneiro
Louis Amoa
David Loureiro
Nelson Correia
Josiah Ahortor
Diogo Otiwa
Nigel Valente
Rafael Okyere
Gabriel Kwaakye
José Oti
Xavier Afoakwa
Valentim Alves
Kwadwo Asiedu
Jaime Morais
Yaw Amoako
Alex Bonsra
Samuel Ntim
Samuel Takyi
Rafael Agyapong
Tiago Ribeiro
Duarte Akyena
Kwabena Antwi
Fiifi Daako
Fiifi Ata
Eric Pereira
Emanuel Ribeiro
Rodrigo Domingues
Robert Morais
Vítor Abreu
Vincent Akoto
Hugo Asante
Michael Rocha
Fábio Duah
Mark Nsia
Akwesi Mensa
Richard Batista
Mário Baafi
Gregory Asante
Ronald Nti
Kwamena Kumi
Noah Baafi
Xavier Mota
Lisandro Moreira
José Akyeampong
Howard Nkrumah
André Fernandes
Samuel Prempeh
Max Lima
João Opoku
Marcus Amoako
André Agyei
Jake Asamoah
Sam Yeboah
Harry Soares
Benjamin Nkansah
Josiah Asenso
Adrian Coelho
Kevin Loureiro
Jake Araújo
Tom Barbosa
Nigel Barbosa
Samuel Azevedo
Wilson Ntiamoa
William Ribeiro
Vítor Nsia
Jeremy Awuah
Nigel Amoako
Jake Kusi
Joaquim Gyamfi
Carlos Mendes
Daniel Ferreira
Emanuel Tavares
Albert Nunes
Yaw Agyemang
Lawrence Sarpong
Jack Nogueira
Igor Nyantakyi
Victor Nkansa
Julian Agyapong
Micael Bonsra
Leonardo Oppong
Vasco Appiah
Ben Tutu
Akwasi Amoako
Paul Vicente
Henrique Karikari
Bryan Moreira
João Appiah
Kojo Omani
Denis Rodrigues
Tomás Gyamfi
Gustavo Gonçalves
Sam Matias
Nelson Ampadu
Mathew Paiva
Ekow Amoa
Stanley Pinheiro
Nelson Branco
Benjamin Kwaakye
Álvaro Amoa
Ivo Wiafe
Timothy Kwaakye
Gordon Antunes
Ismael Gyasi
Frederick Nunes
Sebastião Amponsah
Bernardo Pinho
Roger Safo
Donald Karikari
Danny Sá
Guilherme Pires
Daniel Boadi
Ricardo Amoako
José Torres
Tomé Rodrigues
Russell Coelho
Jeffrey Ofori
Paulo Asamoah
George Machado
Lawrence Pacheco
David Faria
Wilson Yeboah
Rúben Figueiredo
Rúben Okyere
Akwesi Garcia
Kenneth Borges
Christian Monteiro
Stephen Matias
Timothy Appiah
Graham Baah
Ismael Reis
Francisco Vieira
Adam Faria
Bruce Carvalho
Anthony Alves
Edward Leal
Alex Ampofo
Peter Asamoa
Filipe Alves
Michael Kyei
Simon Ferreira
Francisco Safo
Diogo Amorim
Kevin Opoku
Mário Cruz
Xavier Twumasi
Luca Branco
Jorge Appia
Manuel Pereira
Tiago Fonseca
Joojo Andrade
Afonso Nsia
Steven Kwarteng
Kwasi Rocha
Gaspar Ofosu
Kwamena Amoa
Adam Fofie
Tomé Leite
Leonardo Guerreiro
Manuel Awuah
Carl Boateng
Dinis Lopes
Henrique Alves
Clifford Boaten
Márcio Sarpong
John Moreira
Matias Garcia
Ismael Neves
Ronald Ahortor
Vasco Cunha
