Fidel Perdomo
Eleuterio Pichardo
Jhon Castro
Armando Caballero
Yuridia De la crúz
Emiliano Peña
Anderson Domínguez
Javier Bravo
María cristina Villa
Arturo Cardozo
Oswaldo Campos
José Ramírez
Paul Vigil
Óscar Nevado
Sigfrido Molina
William Terrón
Chus Prada
Octavio Martínez
Jose manuel Delgadillo
Ángel Gallardo
Wálter Moll
Micaela Ochoa
Camilo Rodríguez
Emilio Gaona
Enrique Rodríguez
Simón Gutiérrez
Albeiro Isern
Curro Martín
Eduardo Lozada
Rosario Vergara
Natividad Dalmau
Reina Leiva
Carlos Urrutia
Mauricio De anda
Cynthia Madrid
Amor Pagès
Cristina Rojas
Wilber Casas
Ángel Nevado
Cosme López
Francisco javier Loya
Baldomero Henríquez
Wilson Restrepo
Iván Carbajo
Eduardo Caicedo
Zacarías Riquelme
Albeiro Bermúdez
Manuel Munguía
Juan Crespi
Sebastián Barragán
Fabiola Torres
Arley Galvis
Dimas Rivera
Juana Galván
Rolando Lira
Jairo Díaz
Timoteo Cañellas
Santos Jiménez
Francisco Sanchez
Gabriel Galvis
Isabela Rios
Tristán Nazario
Javier Villagómez
Lucio Hernández
Antonio Rodríguez
Eduardo Castro
Karla Leiva
Esperanza Córdoba
Pablo Vargas
Nicanor Juárez
Alberto Rueda
Fermín Navarrete
Frida Ávila
Dulce maría Jiménez
David Ávila
Pablo Rosas
Jacinto García
Ciriaco Padilla
Rico Diéguez
Mauricio Pérez
Juan carlos Restrepo
José Solano
Javier León
Alejandro Fernández
Luis manuel Rojo
Gerardo Ávila
Emiliano Lebrón
Pánfilo Ruiz
Enrique Múñiz
Miguel ángel Polanco
Herminio Pérez
José emilio León
Telmo Rodríguez
Clemente Alva
Joaquín Monroy
Ilse Holguín
Vicente Barreto
Virgilio Martínez
Sandalio Salgado
Jesús De anda
Isidro Rodríguez
Humberto Villamizar
Conchita Suárez
Javier Zarate
Félix Angulo
Isabel Toro
Javier Rivas
Paulino Soto
Itzel Gomez
Carlos Arellano
Benito Baca
Jesús Matas
Minerva Buitrago
Jesús Puente
Cristobal Velandia
Pedro Barriga
Reina Garay
Benito Arredondo
Edwin Carrasco
Wilfrido Cases
Alejo Pineda
Brayan Mejía
Lorenzo Rivas
Reina Alba
Eric Piñeiro
Rosalia Cadenas
Uriel Iborra
Hernando Criado
Marcos Moya
Espartaco Matos
Eleuterio Noguera
Carolina Vanegas
Noé Negrón
Víctor Peña
Eduardo Andrade
Jorge García
Danilo Cabo
Gerardo León
Reynaldo Boada
Carlos Porras
Pedro Velázquez
Carlos Alcázar
Rocío Zapata
Ramón Cintrón
Leandro Velásquez
Jordi Alfaro
Florencio Coloma
Gloria Rubio
Ángel Bernat
Olivia Egea
Arturo González
Arley Suárez
Tristán Reyna
Alonso Lloret
Jaime Farías
Virgilio Roca
José maría Soliz
Pío Narváez
Edison Prieto
Benjamín Escrivá
Manolo Ospina
Elpidio Robledo
Alejandro Espinosa
Fidel Hernández
Enrique Mayo
Fabio Calderón
Mauricio Fabra
Abel Saavedra
Laura Garibay
Ariadna Martínez
Alfonso Aguilar
Nicolás Olivárez
Violeta Espinoza
Deiby Gutiérrez
Andrés Escobar
Jesús Escalante
Salvador Sepúlveda
Pío Viñas
Lorenzo Galeano
Gabriel Zelaya
Moreno Solís
Desiderio Borrell
Glauco Cuesta
Juan Cadenas
César Jiménez
Che Cantillo
Aurelio Piñeiro
Andrés Holguín
Aurelio Acevedo
Ariel Redondo
Fabio De la rosa
Florencio Luís
Rafael Pérez
Jaime Farías
Isabel Gutiérrez
Mercedes Revilla
Valerio Marcos
Desiderio Sarmiento
Manuel García
Fabián Oviedo
Jesús Silva
Gastón Rincón
Luis León
Mauricio Villa
Juan luis Cardona
Fabiola Quiñones
María josé Boada
Poncio Bolívar
Aureliano Palma
Mauricio Benítez
Luis Rincón
Alonso Concepción
Jose miguel Hurtado
Armando Blanco
María del carmen Canales
Rosendo Rodríguez
Ariadna Mejía
Ever Rojas
Marino Mur
María josé Caro
Abraham Rodríguez
David Mesa
Carolina Iglesia
Ángel Tapia
Ciríaco Vargas
Pedro Villa
Miguel González
José antonio Hernández
David Santillán
Delia Saucedo
José emilio Porcel
Estela Ramírez
Fabio Sierra
Gerardo Martínez
Pablo Linares
Hilario Rojas
Gilberto Naranjo
Daniel Díaz
Alfonso Oliva
Alfonso Hernández
Antonio Galan
Edwin Pol
Gabino Flórez
Wilson Arteaga
Olga Arteaga
Zoé Castro
Cebrián Sotelo
Antonio Portilla
Mauricio León
Nicolás Morales
Eloy Ruiz
Andrés Peña
Ronald Guillen
Jhon Ripoll
Cornelio Rodríguez
Vidal Sánchez
Rogelio Carvajal
José Zaragoza
Rubén Díaz
Juan bautista Villa
Federico Tovar
Germán Avilés
Susana Garrido
Adelardo Guillen
Fermín Prado
Richard Sánchez
Alberto Vega
Teodoro Cañete
Arnulfo Cañas
Israel Coronado
Jairo Valderrama
Cándido Castañeda
Judith Raya
Luis Contreras
Francisco Campo
Jesús Marcos
Teresa León
Isaac Manzanares
David Castillo
Moisés Salazar
Wálter Cordero
Francisco Benito
Beatriz Leiva
Hermelinda Zepeda
Eduardo Vega
Juan antonio Bernal
Silvia Sánchez
Miguel ángel Arreola
Bonifacio Vergara
Andrés Tejada
Cecilia Catalán
José luis Bolaños
Benito Camacho
Bernabé Molina
Victoriano Galvez
José Silva
Fortunato Gallardo
Andrés Hernández
Mario Posada
Rocío Mariño
Francisco javier Lara
Gerónimo Navarro
Juan carlos Escobar
Santiago Torres
Agapito Gaona
Uriel Fernández
Carlos Laureano
Leonel Hurtado
Carmen Quiroz
Elsa Porcel
Jesús Mata
Alberto Manso
Lalo Valcárcel
Esneider Rodríguez
Eric Giner
Pancho Mármol
Adalberto Rocha
Herberto Guijarro
Onofre Calderon
Héctor Barragán
Leopoldo Mir
Homero Guzman
Yeison Rios
Aarón Ferrera
Patricia Franco
Bruno Molina
Teo Muñoz
Jader Fierro
Reynaldo Rangel
Raquel Rebollo
Ángela Vargas
Alexander Osorio
Harold Galindo
Iván Quesada
Heraclio Haro
Javier Cadenas
Wilmer Galindo
José Batlle
Stiven Padilla
Paul Diaz
Flavio Terrazas
Carlos Rocamora
Samuel Naranjo
Manuel Tovar
Rolando Rangel
José mari Saiz
Yolanda Padilla
Luis Adán
Ciro Aparicio
Jhon Meza
Alfredo López
Aristides Rincón
Jorge Sánchez
Felipe Elorza
Augusto Mir
Esmeralda Estrada
Mateo Dueñas
Omar Carpio
Germán Arribas
José Arévalo
Rico Hernández
Florentino Iglesias
Remigio Miramontes
Jaime Monroy
Sessa Zapata
Severo Cózar
Pascual Buitrago
Pedro Vallejo
Óscar Rael
Julio García
Irene Caparrós
Marisol Mendoza
Concepción Tamayo
Daniel Pinzón
Óliver Tamayo
Nazaret Peres
Virginia González
Eutimio Piñol
Demetrio Villalobos
Enrique Coll
Amílcar Arévalo
Jose carlos Mayol
Rodolfo Romero
Sara Parra
Rodrigo Mosquera
Héctor Garriga
Israel Melgar
Aitor De león
Óliver Arevalo
Asunción Blanco
Aarón Duque
Adela Hernández
Estela Gonzáles
Alexander Sanjuan
Violeta Hernández
Pablo Esquibel
Guadalupe Barberá
Dario Cantú
Iván Gutiérrez
Guillermo Contreras
Claudio Villa
Harol Pombo
Miguel ángel Naranjo
Ángel Milla
Zoé Ramírez
Cornelio Ospina
César Verdú
Olivia Navarrete
Godofredo Guzmán
Eva Becerra
Cristian Blanco
Ángel Martínez
Tiburcio Valencia
Enrique Alfonso
Iván Guzmán
Rosalia Gual
Alejandro Roldán
Álvaro Boix
Leonel Tovar
Nicolás Delgado
Gilberto Heredia
Juan Cabrero
José luis Sánchez
Martha Vega
Jos Martínez
Jenaro Sotelo
Héctor Montero
Guillermo Arango
Francisco jose Cantillo
Harold Manzano
Soledad Reyes
Rodrigo Montoya
Ignacio Cárdenas
Sebastián Benavides
Lucas Juárez
Elvira Hidalgo
Luis Esteban
Diego Partida
Jairo Uribe
Stiven Osorio
Cristian Moreno
Carlos Mendez
Óliver Sarmiento
Saturnino Blanco
Sessa Restrepo
Rafael Álvarez
Daniel Samper
Ariadna Figueroa
Noelia Dávila
Mario Macias
Ruby Rendón
Feliciano Figuerola
Rosalia Rosas
Anderson Aguirre
Julio césar García
Chema Jurado
Héctor Mancebo
Alcides Losa
Lucas Giraldo
Andrés Ramírez
Elías Muñoz
Ferney Mosquera
Dimas Pedraza
Guillermo Rodríguez
Verónica Sotelo
Nazaret Leiva
Mario Ródenas
Edison Páez
Carla Centeno
Renato Hinojosa
Rolando Jiménez
Candelario Navarro
Luz Manrique
Luis Gomis
Nicodemo Uribe
Nazario Velasco
Serafín Cabán
Antonio Botella
Luciano Molins
César Muñoz
Abril Ayala
Adolfo Buendía
Jacinto Solís
Ernesto Doménech
José Gómez
Amalia Tur
Adalberto Cruz
Arturo Amador
María teresa Ochoa
Edinson Mancebo
Ezequiel Castañeda
Simón Calvo
Tomás Avilés
Amílcar Rojas
Isabel Uribe
Gonzalo Zaragoza
Gilberto Sancho
Pedro Sánchez
Eladio Velásquez
Rafa Puerta
Úrsula Sarabia
Wilfrido Sandoval
Horacio Vilar
Zacarías Orjuela
Hermenegildo Salcedo
Plácido González
Samuel Ramírez
Ibán Rivero
Jorge Segura
Antonio Cardenas
Joel Sánchez
Adolfo Aguilera
Lucas Aranda
Juanito González
Jacobo Monroy
León Marquez
Che Lucio
Eliseo Gras
Dario Delgado
Tomás Campos
Héctor Berríos
Mayte Bernal
Fernando Castañeda
Anderson Murillo
Julio Mares
Antonio Salcido
Leonel Quiroga
Amaro Rojas
Samir Prieto
Irene Caballero
Julián Espitia
Nayeli Gómez
Caridad Sureda
Alberto Henao
Máximo Trillo
Esther Polanco
Ferney Castrillo
Antonio Ortiz
Luis Peña
José Rosell
Benjamín Rosales
Natividad Díaz
José Company
Godofredo Martínez
Clara López
Jhon Santiago
Edinson Sobrino
Sara Bou
Daniel Medina
Ernesto Zapata
Gabriel Galeano
Yeison Olaya
Ambrosio Arredondo
Marc Muñoz
Segismundo Alonzo
Conrado Prada
Carolina Núñez
José Trejo
Bernabé Castellanos
Kevin Balaguer
Cristina Bonilla
Enrique Pozuelo
Marisela Sánchez
Arturo Flores
Felipe Robledo
Carlos Palacio
Jos Téllez
Íñigo Puga
Héctor Pelayo
Libardo Jaimes
Clara Figueroa
Yeni Báez
Antonio Pérez
Héctor Sarmiento
Álvaro Montes
Juan francisco Pacheco
Jose ignacio Mir
Hermes Vanegas
Porfirio Ruiz
Hernando Barral
Octavio Pedraza
Sebastián Bedoya
Rafael Pacheco
Diego Cabán
Arturo Martínez
Amador De la o
Pepe Perales
Antonio Martínez
Fidel Araujo
Nacho Rivas
Jorge Marín
Arcelia Jurado
Tito García
Luis Pintor
René Nevado
Leocadio Acevedo
Lucho Valero
Jesús Cornejo
Daniel Delgadillo
Edwar Martinez
Germán Jordán
Luis Barajas
Porfirio Chávez
Francisco Uribe
Eliseo Barreto
María teresa Benítez
Carlito Saldivar
Jenaro Jiménez
María josé Gibert
Aldemar Pedraza
Cosme Ayala
Rubén Ávila
César Ureña
Horacio Ortiz
Plinio Quirós
Carlos Bravo
Alfonso Trejo
Cornelio López
Jorge Hernandes
Anastasio Solís
Aníbal Gutiérrez
Tania Sala
Juan carlos Caparrós
Wilfredo Porras
Graciela Cortés
Jhon Giménez
Iván Palacios
Maximiliano Peña
Gabriel Zamudio
José Huguet
Alejo Quezada
Elpidio Reina
Eloy Camargo
Enrique Gómez
David Caballero
Abraham Almaraz
José Ureña
Humberto Jaramillo
Aristides Mas
Eduardo Villarreal
Julián Guzmán
Guillermo Bustamante
Pepe Mesa
Luis Serna
Carlos Sauceda
Luisa Correa
Yolanda Sierra
Javier Muñoz
Javier Bárcena
Edu Galvis
Catalina Valcárcel
Gonzalo Peral
Benito Hernández
Jeremías Benavides
Miguel Ochoa
Javier Ariza
Bianca García
Esparta Carranza
Beatriz Fabregat
Luis Ruelas
Édgar Gurule
Toño Losa
Nicodemo Jimínez
Edu Esteban
José maría Suárez
Darío Carnero
Alberto Correa
Efrain Dávila
Natalio Granados
Alejandro Arteaga
René Álvarez
Campo Peña
José carlos Costa
Jair Larrea
Andrés Rivero
Jerónimo Juliá
Eric Ortega
Yolanda Benavides
Aldo Muñoz
Esther Cisneros
Margarita Nájera
Vicente Muñoz
Néstor Barreto
Vanesa Heredia
Juan Delgado
Rodolfo Posada
Natalia Saldaña
Andrés Gutierrez
Rómulo Zambrano
Leonardo Cabrera
William Cabo
Javier Armas
Mitzy Aznar
Mauricio Gallardo
Alfredo Ariza
Alta  gracia Rosado
Julián Curiel
Nacho Farré
Elisa Rincón
Jose francisco Perales
Federico Gómez
Paola Sánchez
Rodolfo Vargas
Lupe Pacheco
María Luna
Adolfo De la fuente
Esperanza Salcedo
Horacio Quiñónez
Luis miguel Cuellar
Diego Guevara
Francisco Manso
Jairo Hernández
William De león
Pedro Company
Arcelia Bustamante
Julio Arias
Porfirio Torres
Lorena Barba
Concepción Zurita
Alberto Porras
Guadalupe Falcó
Víctor Salgado
Nicolás Mercado
Rafael Saavedra
Juana Cardona
Pamela Alcaraz
Carolina Sánchez
Orlando Gil
Carlos Dueñas
Silvano Armas
Adriana Méndez
Alfredo Cerón
Manuel Gaitán
Miguel Trujillo
Nicodemo Sanches
Camilo Quiñones
Reynaldo Sánchez
Samuel Miranda
María López
Alejandro Trujillo
Minerva Esparza
Enrique Barreto
Esteban Martínez
Carmelo Ríos
Alexander Castillo
Nadia Miranda
Rosendo Pascual
Magdalena Amaya
Leocadio Vargas
Cándido Isern
José Castillo
Gonzalo García
Aníbal Galvez
Santos Rodríguez
Maxi Carvajal
Guillermo Solano
Julio Garza
Trinidad Alba
Juan Ferrer
Alicia Novoa
Alexander Gutiérrez
Felipe Bastida
Manuel Parra
Luis ángel Sarabia
Glauco Valencia
Adela Márquez
Fito Sosa
Dulce Osorio
Silvano Hinojosa
David Gómez
Zacarías Camps
Fermín Arevalo
Luis Barco
Brandon Pareja
Concepción Melgar
Carlos Zepeda
Fernando Lerma
Alonso Villa
Indira Godoy
Ricardo Solano
Daniela Medina
Iván Villalba
Sergio Nieto
Jorge Santillán
Margarita Posada
Humberto Sierra
Alfredo Montserrat
Germán Torres
Porfirio Ruiz
Iván Saavedra
Alberto Sandoval
Augusto Quintero
Gustavo Zarate
Agapito Palma
Jaime Aguayo
Pedro Hoyos
Pedro Cardona
Óscar García
José Urbina
Andrés Chávez
Tristán Gil
Gustavo Rey
Citlali Barajas
Eloy De la garza
Josué Puig
Manuel Lugo
Rubén Ramírez
Edwin Madrigal
Mauro De la torre
Ildefonso Fuente
Juan pablo Blazquez
Lourdes González
Galo Bernad
Timoteo Rueda
Adalberto Arboleda
José Quintero
Isidoro Cárdenas
Gildardo Garzón
Bianca Valle
Toño Saldaña
Leticia Olivé
Danilo López
Miriam Gaona
Andrés Arenas
Benigno Escudero
Juan Ropero
Renato Niño
Micaela Angulo
Alfredo Aponte
Jose ramón Mascareñas
Mauricio Escrivá
Felipe Castaño
Ramiro Chapa
Manuel Vásquez
Ernesto Gómez
Joan Rincón
Kike Luna
Juan manuel Torres
Marcelo Fabregat
Guiomar Dueñas
Faustino Perea
Jhon Feliciano
Toni González
Celestino Parra
Gerónimo Moya
Daniela Amaya
Anabel Moreno
Jhon Ramón
Caridad Escamilla
Josué Espino
Federico Arevalo
Aldonza Rojas
Román Mora
Hilda Santos
Juan Linares
Fabián Mascareñas
Porfirio Aponte
Virginia Jaramillo
Clara Arroyo
Abigail Gurule
Sara Guevara
Ivonne Rivera
José Burgos
Rolando Ribas
Salvador Casanova
Apolinar Gomez
Javier Cazares
Alonso Palomino
Bernardo Valencia
Jairo Batista
José Núñez
Omar Sanabria
Iván Manrique
Marco Dávila
Amalia Jurado
Gerardo Moreno
Uriel Calderón
Aarón Sala
José Alzate
Hugo Solís
Olivia Escamilla
Edmundo Valenciano
Roldán Barón
Claudia Serrano
Cristobal Cisneros
Manolo Medina
Leandro Bonet
Ronal Sainz
Vicente Murillo
Omar Espinosa
Omar Ferrando
Violeta Tejero
Tomás Parra
Bruno Hinojosa
Edinson Avilés
Orlando García
Lucía Aguilera
Jafet Soto
Fernando Barreto
Fernando Salazar
Darío Muñoz
Camilo Durán
Tristán Esteve
Natanael Alarcón
Guillermo Niño
Jorge Pozo
Ana Cervantes
Jafet Hernádez
Renato Madera
Jose antonio Otero
María josé Cano
Pedro Peñalver
Ernesto Cases
Rodrigo Belda
Orlando Aguirre
Miguel ángel Covarrubias
Roger Cano
Elvia Huguet
Isaías Guerrero
Marisela Márquez
Daniela Lira
Ana luisa González
Juan Ureña
Andrés Roura
Florencio Gómez
Uriel Delgadillo
Mauricio Santillán
Álvaro Márquez
Evaristo Barbosa
Estefanía Rubio
Brian Parra
Cristian Loaiza
Nelson Vazquez
Brayan Cano
Julio Franco
Aníbal Carrión
Camila Aguiló
Bautista Cortina
Claudio Ardila
Ernesto Muñiz
Arbey Páez
José Lomeli
Leticia Arriaga
Julián Rivera
Citlali Paredes
Andrés Bravo
Jesús Quintero
Eloisa Talavera
Micaela Viera
Andrés Gollum
Cristian Rael
Yago Domingo
Wilfrido Canales
Gloria Andrés
Manuel López
Juan manuel Malave
Elias Cordero
Julio Andres
Camilo Bétancourt
Francisca Oquendo
José manuél Murillo
Jacobo Aranda
Alfonso Terán
Alonso Gutiérrez
Isidro Ospina
Germán Cruz
Emilio Morera
Miguel ángel Morales
Fernando Barriga
Juan Cortés
Juan Cadenas
Basilio Preciado
Luis Giménez
Barbara Cepeda
Elías Bárcena
Ana maría Camps
Rico Corominas
Edgar Lopez
Porfirio Reyes
Victor manuel Soria
Vicente Díaz
Alexander Alsina
Darío Maestas
Ocampo Izaguirre
Celestino Peñalver
Evelio Salvador
Adolfo Cantillo
Nicolás Mayo
Mariano Barba
Manuel Figueroa
Adriana Flores
Victor manuel Granados
Arsenio Rivera
Aitor Guerrero
Lalo Noriega
Óscar Fernández
Cornelio Arévalo
Elvira Montero
Wendolin Prada
Hilda Rodríguez
Agustín Castejón
Carlos Iniesta
Alberto Amaya
Antonio Giraldo
Nadia Avilés
Andrés Álamo
José eduardo Muro
Francisco Guardiola
Sancho Medina
Marcial López
Mercedes Castell
Leopoldo Muro
Íñigo Parra
Eva Rodríguez
Iván Valverde
Mauricio Vásquez
Víctor Mulet
Andrés Maldonado
Fermín Muñoz
Albert Miranda
José Gallegos
Daniel Angulo
Karina Alcolea
José Sandoval
Gabriela Barela
Plinio Chavarría
David Cabrera
Rodolfo Matas
Leonel Montoya
Virgilio Ibáñez
Jerson Lucas
Julio Tejeda
Francisco jose Maldonado
Humberto Sancho
María elena Herrera
Francisco Leal
Rubén Bonilla
Roberto Curiel
Nicanor Cruz
Mario Figuerola
Ignacio Nieto
Tristán Rosado
Osvaldo Baca
Frida Ávila
Rolando Jaimes
Toño Rascón
Fito Barraza
Ramón Llorente
María elena Mata
Jhonatan Sánchez
Francisco jose Haro
Teodoro Alcala
Dario Tomé
Francisco javier Alcaraz
Antonio Franco
Rosa Ruelas
Zoé Mesa
Heriberto Castilla
Fidel Fábregas
Luis Venegas
Martín Díaz
Che Olmedo
Jaime Nazario
Armando Treviño
Amando Estévez
Sergio Parada
Nacio Olivé
Ana maría Suárez
Sara Muñiz
Benjamín Medina
Edwin Bedoya
Juan carlos Galán
Horacio Alba
Bruno Juan
Basilio Romero
Marco antonio Mena
Lalo Muñoz
Vicente Acevedo
Mario Sabater
Bernardo Molina
Alfonso Solano
Rosa Calzada
José luis Carvajal
Leonel Rodríguez
Didier Buitrago
Trinidad Gallardo
Carlos Adame
Miguel ángel Méndez
Zacarías Calzada
Daniel Marrero
Sonia Ballesteros
Iván Puga
José Vendrell
Francisco jose Navarrete
Noelia Sanabria
Darwin Díaz
Carolina Ramírez
Miguel ángel García
Carlos Alzate
Tomás Vélez
Sebastián Polo
Robert Losada
Amílcar Céspedes
Jhonatan Villalba
Carlos Madrigal
Manuel Jaén
María cristina Hurtado
Ana maría Canet
Juan Rodríguez
Julio Pujadas
Pablo Pinto
Moisés Nuñez
Mercedes Jaimes
Gilberto Viñas
Plinio Ortiz
Juan Amaya
Ramón Elizondo
Richard Molina
Claudia Navarro
Fredy Castro
Rafaél Ramírez
Marino Moreno
Cristian Sandoval
Marisol Esquivel
Javier Sierra
Irma López
María cristina Alcalá
Cynthia Valverde
Mauricio Betancur
Indira Valero
Socorro Jiménez
Pascual Borrego
Félix Muñoz
Andrés Calderón
Francisco Navarrete
Daniel Méndez
Mauricio Hoyos
Julio Reynoso
Alfonso Caballero
Olga Valadez
Alejandro Pizarro
Andrés Zurita
Ángel Rodríguez
Abraham Fajardo
Horacio Pineda
Duván Tejada
Hugo Carbajo
Renato Olivera
Felipe Sanches
Gilberto Escudero
Patricio Cánovas
Carolina Hernández
Pánfilo Guzmán
Herberto Ibañez
René Olivares
Edgardo Solera
Javi Córdova
Mateo Lucena
Domingo De anda
Edgar Quintanilla
Clemente Almeida
León Rodríguez
Espartaco Torres
Lázaro Criado
Carlos Carbajal
Amalia Gonzáles
Paola Acevedo
Herberto López
Calisto Rodríguez
Octavio Jaime
Rosario Aguilar
José ángel Franco
Maximiano Moreno
Che Torres
Severino Vargas
Anastasio Arias
Isabel Guillen
César Mosquera
Armando González
Rodrigo Oller
César Corredor
Darío Espitia
Santiago Valbuena
Gaspar Pérez
Antonio Contreras
Jairo Silva
Aldonza Figueroa
Herberto Zamora
Eduardo Colunga
Horacio Parra
Luis Silva
Héctor Quintero
Juan antonio Amaya
Humberto Adame
Héctor Baró
Pilar Rosales
Fredy Romero
Eduar Serna
Harvey Ariza
Alexis Mosquera
Omar Bermejo
Nacio Granado
Germán Casanova
Oswaldo Cabañas
Cynthia Morán
Horacio Cruz
Emilio Vanegas
Wilson Mosquera
Calisto Flórez
Isabel Fajardo
Enrique Busquets
Enrique Marquez
Jesús Saiz
Débora Zambrano
Jeison Orozco
David Escalante
Jose antonio Casas
Darío Aguirre
Marcio Montenegro
Juan Cuesta
Jesús Pelayo
Carlito Cabeza
Jonás Calvet
Porfirio Flórez
Diego Londoño
Nelson Torres
Alexis Galván
Dulce maría Rodríguez
Cebrián Abrego
Gabriel Berríos
Jorge Pedraza
Arcelia Nieto
Soledad Soliz
Haroldo Polanco
Concepción Teruel
Jean Carrión
Mariano Girona
Camila Medina
Osvaldo Gil
Arturo Bonet
Amílcar Saavedra
Rosario Rivas
Eugenio Cal
Camila Alba
Carlos Verdejo
Kike Ospina
Duilio Salazar
Roque Esparza
Isabel Arteaga
Raúl Canals
Edu Vicente
Renato Canales
Marisol Asenjo
Zacarías Barrientos
Antonio Restrepo
Manuel Martínez
Agustín Gómez
Asunción Coca
Edgar Lucas
Victoriano Cedillo
Gerardo Avilés
Francisco jose Andreu
Emilio Reynoso
Carlos Piñeiro
Antonio Malave
Jonatan Jurado
Albeiro Zaragoza
Jorge León
Adolfo Gual
Andrés Salvador
Jesús Rincón
Manu Arenas
Clemente Fajardo
Juan Rodríguez
Wilson Esquivel
María teresa León
María teresa Griego
Cipriano Alegria
Rufino Arenas
Isabela Trejo
Ángel Checa
Óscar Peiró
Delia Puga
Eduardo Ribas
Teobaldo Sánchez
José Orjuela
Edilberto Sánchez
Berta Ibáñez
Natalio Esteban
Galo Elorza
Asdrubal Velázquez
José Campo
John Miranda
José Aragón
Miguel Anguiano
Maximiliano Correa
Roldán Alfonso
Mauricio Valencia
Baldomero Puerta
Pablo Osorio
David Castro
Eduardo Berrocal
Luis Bilbao
Gabriela Bellido
Melchor Rivera
Johan Gil
Rosa Bermúdez
Julio Mendoza
Esperanza González
José ángel García
Adalberto Moll
Miguel Rangel
Ricardo Sánchez
Renato Correa
Juan Hurtado
Alberto Suárez
Bonifacio Robledo
Linda Quintero
Julio Luna
Ezequiel Perea
José Ferreras
Andrés Huguet
Luis Trejo
Eloy Robles
Faustino Guerra
Rafael Angulo
Francisco jose Cuéllar
Jonathan Franch
Luis Iglesias
Guadalupe Recio
Faustino Carrillo
Modesto Gallego
Octavio Quintero
Cristian Pineda
Sebastián Sarabia
Nico Bertrán
Antonio Pérez
Germán De la garza
José mari Bernal
Jairo Pedraza
Telmo Murcia
Chema Caraballo
Leandro Roman
Dario Fonseca
Jerónimo Maldonado
Socorro Galán
Paco Ponce
Felipe Valencia
Gustavo Velázquez
Pascual Bolaños
Eva Ramírez
Teodosio Sánchez
David Santiago
Henry Peláez
Franco Cruz
Claudia Haro
Francisco javier Aguirre
Antonia Ibáñez
Israel Madrid
Jerson Herrera
Wálter Barrera
Ibán Arellano
Roque Alarcón
Lucía Espinal
Miguel Bastida
John Hernández
Ilse Rojo
Andrés Ochoa
Daniel Macías
Catalina Carvajal
Alfredo Moreno
Abel Trujillo
Pepe Díaz
Onofre Estrada
Olegario Vera
Camilo Herranz
María cristina Esparza
Silvano Saucedo
Ricardo Tello
Samuel Guerrero
Leonardo Maldonado
Enrique Polanco
Román García
Bautista Villa
Alberto Díaz
Cristian Alcántara
Manuel Ortiz
Carla Sierra
René Castellanos
Ricardo Madrid
Edmundo Barrena
Jaqueline Tamez
Eric García
Esteban Méndez
Rolando Bustamante
Alfonso Beltrán
Bernardo Muñoz
Felipe Ruano
Jorge Arjona
Baldomero Villamizar
Angelino Gamboa
Francisco Cárdenas
Carlito Mendoza
Graciela Luna
Antonio Cuéllar
Gonzalo Galeano
Alejandro Hernández
Francisco javier Agudelo
Rico Narváez
Juan Santos
Humberto Vilaplana
Edgar Iglesias
Juan Naranjo
Camilo Olivárez
Luisa Barral
Esther Zurita
Duilio Arias
Juan francisco Segura
Mauricio Sobrino
Estela Rodríguez
Lupe Martínez
Eliecer Larrañaga
Omar Benavides
Carlos Serrato
Tristán Montañez
Edwin Sánchez
Gerónimo Loera
Angelino Zavala
Virginia Franco
Sofía Mata
Violeta Lerma
Sebastián Quesada
Fabricio Longoria
Leonardo Molina
Agustín Navarro
José maría Romero
Juan Bohórquez
Elsa Reyes
Germán Murillo
Edwin Cazorla
José luis Durán
Pedro Baños
Carlos Ortega
Juana Zamora
Jonatan Mateo
Iker Garcés
Omar Martínez
Aldonza Pombo
Octavio Vega
Juan carlos Guevara
Sergio Beltrán
Augusto Gallardo
Eric Roque
Luis Molina
Estela Leal
Javier Contreras
Eduardo Álvarez
Santiago Antúnez
María cristina Ortega
Graciela Torres
Andrea Sáez
Frida Fierro
Francisco javier Burbano
Carlos Canals
Bianca Godínez
Samu Tovar
Rafael Sánchez
Armando Barba
Nayeli Arguello
Diego Navarro
Donato Contreras
Ceferino Castro
Raimundo Calvillo
Homero Gaytán
Hernando Lara
Ezequiel Burgos
Alejandro Salamanca
José Matías
Ariel Arredondo
Sabas Franch
Jorge Padilla
Claudia Alcaraz
Eduardo Marín
Jaime Bohórquez
Jose ignacio Santacruz
Julián Córdoba
Conrado Rincón
José Morales
Mario Arboleda
David Flórez
Nilo Medina
Gustavo Madera
José Castro
Dan Elías
Jonatan Lovato
Guillermo Sánchez
Modesto Ponce
Ramón Nieto
Jairo Carrera
Américo López
Daniel Sánchez
Edu Sierra
Mauricio Múñiz
Eduardo Carrillo
Juan Cases
Leandro Franco
Santiago Múñiz
Delia Anaya
María elena Valderrama
Julio césar Ojeda
Carlos Cardenas
Ramón Portero
Lupe Carmona
Barbara Gómez
Isabel Lasa
Adolfo Moya
Paco Vilalta
Israel Pabón
Víctor Adame
Carlos Recio
Jose luis Aguirre
Fernando Uribe
Jesús Carranza
Víctor Vaca
Felipe Arias
Vanesa Otero
Pablo Baeza
Miguel ángel Uribe
Xavier Santiago
Eva Rengifo
Nicolás Lillo
Hilario Yáñez
Alejandra Gelabert
Luis miguel Morcillo
Eduardo Corominas
Cristian Vargas
